fid,CD_MUN,NM_MUN,SIGLA_UF,ckey,populacao,nota_veg,nota_area,nota_relevo,nota_p_q1,nota_p_q2,nota_p_q3,nota_p_q4,nota_insalub,nota_insalub_2,area_municip,area_georef,percent_area_georef,num_imoveis,area_car_total,area_car_media,perimetro_total_car,perimetro_medio_car,area_max_perim,nota_total_q1,nota_total_q2,nota_total_q3,nota_total_q4,nota_media,valor_mun_perim,valor_mun_area
251,2925006,planalto,BA,planalto ba,23325.0,2.6351386932303136,4.8425622285714285,7.5,4.087910812130791,2.616942895047689,2.5396236479580656,4.2085966375175605,1.0,1.3032482709893318,78921.6510015429,78398.90699161426,99.34,2498.0,44225.49,18.059576,4024.1070299999997,1.61093,20.651113551709763,21.0,20.0,20.0,21.0,20.0,3609744.7291208995,4688254.638098532
337,2931350,teixeira de freitas,BA,teixeira de freitas ba,144546.0,2.3472635418165426,2.4840122032215084,7.5,2.6533608898448877,2.6684759228558175,1.582211053204691,2.266235812444885,3.1419028105162456,1.857886828217311,119847.17675358024,116446.76940993633,97.16,1442.0,102964.96,71.595635,4682.21793,3.24703,83.90015020607966,19.0,19.0,18.0,19.0,19.0,4200089.9497479,6963516.810714192
95,2917300,itubera,BA,itubera ba,21886.0,9.455245835671832,4.570005028571429,7.5,5.876886598665701,7.532530488747216,5.684241422623422,6.357367273781711,1.0,0.7776297273053644,42866.77513272705,42477.133340097986,99.09,1431.0,22018.98,15.708468,1789.82765,1.25075,12.44890518120196,29.0,31.0,29.0,30.0,30.0,2812964.727846,4450754.031375467
373,2913101,ibitita,BA,ibitita ba,16934.0,2.2531849164091198,7.9424866000000005,2.5,4.962440664417519,0.9013207910394221,0.40009001570971225,6.468297721816098,1.0,0.24333035037109751,58534.34923866172,57829.952944993565,98.8,4277.0,38325.1,9.566486,4973.56436,1.16286,10.760810906331509,20.0,16.0,15.0,21.0,18.0,4461436.4378508,3458231.1861106153
6,2911402,gloria,BA,gloria ba,15475.0,5.612620030464511,4.6310611999999995,2.5,4.9942185181016,6.434263873409803,4.158816702740807,7.483363750765165,1.0,0.07173916883646232,162322.3154304647,134428.1886328043,82.82,3248.0,46703.17,14.500781,4754.85542,1.46393,17.054176664590504,20.0,21.0,19.0,22.0,20.0,4265247.9574026,8038805.680241697
56,2917201,ituacu,BA,ituacu ba,17876.0,5.575994470275161,7.1984048000000005,7.5,3.9069040815699045,1.233434060691817,0.8857630330965262,4.949527303085821,1.1498411893907503,0.9386229955483099,122692.84724331526,122342.29059619091,99.71,4713.0,60023.06,12.811046000000001,7384.453759999999,1.56683,19.535921104338613,26.0,24.0,23.0,27.0,25.0,6624076.5563328,7316068.977652216
160,2920403,manoel vitorino,BA,manoel vitorino ba,13856.0,2.4914263042525406,2.607976840189314,7.5,4.1782340035541745,2.1424420494788725,2.226159021059845,4.586751216061763,1.0,0.4196518529310636,225921.575657803,225519.96983195315,99.82,2639.0,159113.5,60.474959,7342.84325,2.7824299999999997,61.608215629527656,19.0,17.0,17.0,19.0,18.0,6586750.6805475,13486094.195950797
21,2930600,serrolandia,BA,serrolandia ba,13306.0,2.1364698989083593,7.750793,2.5,4.484474947029203,3.1449503650680932,2.1147605317380846,6.528057509763663,1.1718860152124246,1.8833066471849957,33097.44249416819,32643.15265152793,98.63,1493.0,14339.43,9.633749,1855.0918100000001,1.24253,12.285813050395465,19.0,18.0,17.0,21.0,19.0,1664073.0063243,1952060.52856137
393,2915700,itamari,BA,itamari ba,7048.0,2.9404523525721933,5.093844228571428,7.5,5.1896555272995535,4.601661237519547,4.293195949724842,5.4646359848682735,1.0,0.0946619476599633,14773.99902795475,14652.82480967042,99.18,513.0,6751.09,13.204413,642.42492,1.25229,12.479579762736229,23.0,22.0,22.0,23.0,22.0,576274.4259876,876238.923618291
23,2915809,itambe,BA,itambe ba,24328.0,2.590295105778238,1.9886955127408996,7.5,3.9316948990122826,2.7820602589177894,2.45902025332285,3.9139313546133785,1.0,1.4746142691990805,157473.80416463676,157169.05134448237,99.81,845.0,124605.99,147.94330300000001,3855.48726,4.56271,165.66694698874787,18.0,17.0,17.0,18.0,18.0,3458487.7368377997,9398709.270400045
